1_char,1_q,2_char,2_q,3_char,3_q,4_char,4_q,5_char,5_q,6_char,6_q
Qui-Gon,"""Be mindful of the living Force, young Padawan.""",Obi-Wan,"""Use the Force. Think.""",Yoda,"""Rejoice for those around you who transform into the Force.""",Obi-Wan,"""Vader was seduced by the dark side of the Force.""",Palpatine,"""There is a great disturbance in the Force."" ",Palpatine,"""Only together can we turn him to the dark side of the Force."" "
Qui-Gon,"""Don't worry. The Force will guide us.""",Mace,"""Remember, Obi-Wan, if the prophecy is true, your apprentice is the only one who can bring the Force back into balance.""",Mace,"""May the Force be with us all.""",Luke,"""The Force?""",Palpatine,"""The Force is strong with him."" ",Yoda,"""Strong am I with the Force, but not that strong."" "
Jar,"""Ohh, maxi big, da Force.""",Obi-Wan,"""Anakin, may the Force be with you.""",Obi-Wan,"""Is he not to destroy the Sith and bring balance to the Force?""",Obi-Wan,"""The Force is what gives a Jedi his power. It's an energy field created by all living things. It surrounds us and penetrates us. It binds the galaxy together.""",Yoda,"""Yes! A Jedi's strength flows from the Force."" ",Yoda,"""Twilight is upon me, and soon night must fall. That is the way of things, the way of the Force."" "
Qui-Gon,"""I sense a disturbance in the Force.""",Anakin,"""May the Force be with you, Master.""",Palpatine,"""Darth Plagueis was a dark lord of the Sith so powerful and so wise, he could use the Force to influence the midi-chlorians to create life.""",Obi-Wan,"""You must learn the ways of the Force if you're to come with me to Alderaan.""",Yoda,"""Anger, fear, aggression; the dark side of the Force are they, easily they flow, quick to join you in a fight."" ",Yoda,"""Remember, a Jedi's strength flows from the Force."" "
Qui-Gon,"""The Force is unusually strong with him.""",Yoda,"""Sense the Force around you.""",Palpatine,"""The dark side of the Force is a pathway to many abilities some consider to be unnatural.""",Obi-Wan,"""Learn about the Force, Luke.""",Yoda,"""A Jedi uses the Force for knowledge and defense, never for attack."" ",Yoda,"""Luke, the Force runs strong in your family. Pass on what you have learned."""
Qui-Gon,"""May the Force be with you.""",Mace,"""I think it is time we informed the senate that our ability to use the Force has diminished.""",Anakin,"""Obi-Wan. May the Force be with you.""",Vader,"""The ability to destroy a planet is insignificant next to the power of the Force.""",Yoda,"""That place is strong with the dark side of the Force."" ",Obi-Wan,"""Your father was seduced by the dark side of the Force."" "
Mace,"""May the Force be with you.""",Dooku,"""The dark side of the Force has clouded their vision, my friend.""",Obi-Wan,"""Goodbye, old friend. May the Force be with you.""",Luke,"""I want to learn the ways of the Force and become a Jedi like my father.""",Yoda,"""Use the Force. Yes."" ",Obi-Wan,"""When I first knew him, your father was already a great pilot, but I was amazed how strongly the Force was with him. I took it about myself to train him as a Jedi."" "
Qui-Gon,"""I have encountered a vergence in the Force.""",Dooku,"""It is obvious that this contest cannot be decided by our knowledge of the Force, but by our skills with a lightsaber.""",Mace,"""The dark side of the Force surrounds the chancellor.""",Obi-Wan,"""The Force can have a strong influence on the weak-minded.""",Yoda,"""Judge me by my size, do you? Hmm? Hmm. And well you should not, for my ally is the Force."" ",Luke,"""The Force is strong in my family. My father has it. I have it. And my sister has it."""
Mace,"""You refer to the prophecy of the one who will bring balance to the Force.""",Dooku,"""The Force is with us, Master Sidious.""",Anakin,"""I know there are things about the Force that they're not telling me.""",Obi-Wan,"""Remember, a Jedi can feel the Force flowing through him.""",Yoda,"""You must feel the Force around you."" ",Vader,"""The emperor will show you the true nature of the Force. He is your master now."" "
Qui-Gon,"""Finding him was the will of the Force.""",,,Palpatine,"""Let me help you to know the subtleties of the Force.""",Luke,"""You don't believe in the Force, do you?""",Yoda,"""Feel the Force flow."" ",Ackbar,"""May the Force be with us."" "
Mundi,"""The Force is strong with him.""",,,Anakin,"""How do you know the ways of the Force?""",Obi-Wan,"""The Force will be with you... always.""",Yoda,"""Through the Force, things you will see. Other places. The future. The past. Old friends long gone."" ",,
Qui-Gon,"""He is headstrong, and he has much to learn of the living Force, but he is capable.""",,,Palpatine,"""My mentor taught me everything about the Force.""",Vader,"""A tremor in the Force. The last time I felt it was in the presence of my old master.""",Luke,"""But I can help them. I feel the Force."" ",,
Yoda,"""May the Force be with you.""",,,Palpatine,"""If you wish to become a complete and wise leader, you must embrace a larger view of the Force.""",Vader,"""Don't underestimate the Force.""",Obi-Wan,"""This is a dangerous time for you, when you will be tempted by the dark side of the Force."" ",,
Qui-Gon,"""Without the midi-chlorians, life could not exist, and we would have no knowledge of the Force.""",,,Palpatine,"""Learn to know the dark side of the Force, and you will be able to save your wife from certain death.""",Vader,"""Obi-Wan is here. The Force is with him.""",Yoda,"""Only a fully trained Jedi knight, with the Force as his ally, will conquer Vader and his emperor."" ",,
Qui-Gon,"""They continually speak to us, telling us the will of the Force.""",,,Anakin,"""He knows the ways of the Force.""",Dodonna,"""Then man your ships, and may the Force be with you.""",Vader,"""The Force is with you, young Skywalker. But you are not a Jedi yet.""",,
,,,,Palpatine,"""Learn to use the dark side of the Force.""",Han,"""May the Force be with you.""",Luke,"""May the Force be with you."" ",,
,,,,Palpatine,"""The Force is strong with you. A powerful Sith you will become.""",Obi-Wan,"""Luke, the Force will be with you.""",,,,
,,,,Yoda,"""Faith in your new apprentice misplaced may be. As is your faith in the dark side of the Force.""",Obi-Wan,"""Use the Force, Luke.""",,,,
,,,,Obi-Wan,"""It was said that you would destroy the Sith, not join them! Bring balance to the Force, not leave it in darkness!""",Vader,"""The Force is strong with this one.""",,,,
,,,,Yoda,"""An old friend has learned the path to immortality. One who has returned from the netherworld of the Force.""",Obi-Wan,"""Remember, the Force will be with you always.""",,,,
